dem,pheno,method,metric,value,seed,pgs_mode,centers
serial1d,phenoB,gamfit,brier,0.0919286067717797,3,realpt,20
serial1d,phenoB,gamfit,mae_true_risk,0.0874564957096512,3,realpt,20
serial1d,phenoB,gamfit,rmse_true_risk,0.1257272424907081,3,realpt,20
serial1d,phenoB,gamfit,auc,0.7215460102960103,3,realpt,20
serial1d,phenoB,gamfit,liability_pseudo_r2,0.304569458035773,3,realpt,20
serial1d,phenoB,linpc,brier,0.0919773893442079,3,realpt,20
serial1d,phenoB,linpc,mae_true_risk,0.0876742267637531,3,realpt,20
serial1d,phenoB,linpc,rmse_true_risk,0.1258287379147849,3,realpt,20
serial1d,phenoB,linpc,auc,0.7153651866151867,3,realpt,20
serial1d,phenoB,linpc,liability_pseudo_r2,0.3017144310808872,3,realpt,20
serial1d,phenoB,znorm,brier,0.0935960000516061,3,realpt,20
serial1d,phenoB,znorm,mae_true_risk,0.0929157541444317,3,realpt,20
serial1d,phenoB,znorm,rmse_true_risk,0.1337958659397886,3,realpt,20
serial1d,phenoB,znorm,auc,0.6983285070785071,3,realpt,20
serial1d,phenoB,znorm,liability_pseudo_r2,0.2440960281556573,3,realpt,20
serial1d,phenoB,gamfit,brier,0.1505746579435832,2,realpt,20
serial1d,phenoB,gamfit,mae_true_risk,0.139832868729355,2,realpt,20
serial1d,phenoB,gamfit,rmse_true_risk,0.1804706691417857,2,realpt,20
serial1d,phenoB,gamfit,auc,0.6723300000000001,2,realpt,20
serial1d,phenoB,gamfit,liability_pseudo_r2,0.3485038638816153,2,realpt,20
serial1d,phenoB,linpc,brier,0.1533072893680925,2,realpt,20
serial1d,phenoB,linpc,mae_true_risk,0.1472883933536202,2,realpt,20
serial1d,phenoB,linpc,rmse_true_risk,0.1898464095491994,2,realpt,20
serial1d,phenoB,linpc,auc,0.6452730000000001,2,realpt,20
serial1d,phenoB,linpc,liability_pseudo_r2,0.2794751789190928,2,realpt,20
serial1d,phenoB,znorm,brier,0.1573022500602575,2,realpt,20
serial1d,phenoB,znorm,mae_true_risk,0.1601478897913671,2,realpt,20
serial1d,phenoB,znorm,rmse_true_risk,0.199840692727948,2,realpt,20
serial1d,phenoB,znorm,auc,0.5988065,2,realpt,20
serial1d,phenoB,znorm,liability_pseudo_r2,0.0935333742964843,2,realpt,20
serial1d,phenoB,gamfit,brier,0.167197847981545,1,realpt,20
serial1d,phenoB,gamfit,mae_true_risk,0.1570051820462409,1,realpt,20
serial1d,phenoB,gamfit,rmse_true_risk,0.2016930923322875,1,realpt,20
serial1d,phenoB,gamfit,auc,0.6726562248046182,1,realpt,20
serial1d,phenoB,gamfit,liability_pseudo_r2,0.2707583684998062,1,realpt,20
serial1d,phenoB,linpc,brier,0.1680426154985494,1,realpt,20
serial1d,phenoB,linpc,mae_true_risk,0.1573010480512177,1,realpt,20
serial1d,phenoB,linpc,rmse_true_risk,0.2016415626832347,1,realpt,20
serial1d,phenoB,linpc,auc,0.6653569547316256,1,realpt,20
serial1d,phenoB,linpc,liability_pseudo_r2,0.2655044805810179,1,realpt,20
serial1d,phenoB,znorm,brier,0.1781406569366407,1,realpt,20
serial1d,phenoB,znorm,mae_true_risk,0.1841982497620791,1,realpt,20
serial1d,phenoB,znorm,rmse_true_risk,0.2261304356599348,1,realpt,20
serial1d,phenoB,znorm,auc,0.5338357180482247,1,realpt,20
serial1d,phenoB,znorm,liability_pseudo_r2,0.0130489030614021,1,realpt,20
serial1d,phenoA,gamfit,brier,0.1504239442518213,7,realpt,20
serial1d,phenoA,gamfit,mae_true_risk,0.1476682360853502,7,realpt,20
serial1d,phenoA,gamfit,rmse_true_risk,0.1968753336018657,7,realpt,20
serial1d,phenoA,gamfit,auc,0.6940441064102414,7,realpt,20
serial1d,phenoA,gamfit,liability_pseudo_r2,0.1528312199635104,7,realpt,20
serial1d,phenoA,linpc,brier,0.1544603864166905,7,realpt,20
serial1d,phenoA,linpc,mae_true_risk,0.1573693500079549,7,realpt,20
serial1d,phenoA,linpc,rmse_true_risk,0.2079827621018074,7,realpt,20
serial1d,phenoA,linpc,auc,0.6590755913965853,7,realpt,20
serial1d,phenoA,linpc,liability_pseudo_r2,0.1048590421749332,7,realpt,20
serial1d,phenoA,znorm,brier,0.1545138383395202,7,realpt,20
serial1d,phenoA,znorm,mae_true_risk,0.1563674935410222,7,realpt,20
serial1d,phenoA,znorm,rmse_true_risk,0.2058373295970127,7,realpt,20
serial1d,phenoA,znorm,auc,0.6662478791227306,7,realpt,20
serial1d,phenoA,znorm,liability_pseudo_r2,0.1807462617314145,7,realpt,20
serial1d,phenoB,gamfit,brier,0.1478522550767637,7,realpt,20
serial1d,phenoB,gamfit,mae_true_risk,0.1479617787886028,7,realpt,20
serial1d,phenoB,gamfit,rmse_true_risk,0.1932534272297326,7,realpt,20
serial1d,phenoB,gamfit,auc,0.6697870413156373,7,realpt,20
serial1d,phenoB,gamfit,liability_pseudo_r2,0.2224238776281534,7,realpt,20
serial1d,phenoB,linpc,brier,0.1497013651895861,7,realpt,20
serial1d,phenoB,linpc,mae_true_risk,0.1532599658538993,7,realpt,20
serial1d,phenoB,linpc,rmse_true_risk,0.2002976172734805,7,realpt,20
serial1d,phenoB,linpc,auc,0.6480362244996843,7,realpt,20
serial1d,phenoB,linpc,liability_pseudo_r2,0.1580483664303687,7,realpt,20
serial1d,phenoB,znorm,brier,0.1485994222740013,7,realpt,20
serial1d,phenoB,znorm,mae_true_risk,0.1510468173749913,7,realpt,20
serial1d,phenoB,znorm,rmse_true_risk,0.1967539712868393,7,realpt,20
serial1d,phenoB,znorm,auc,0.6600224822024399,7,realpt,20
serial1d,phenoB,znorm,liability_pseudo_r2,0.1807374996700874,7,realpt,20
serial1d,phenoA,gamfit,brier,0.1562771790648253,2,realpt,20
serial1d,phenoA,gamfit,mae_true_risk,0.1370496842550636,2,realpt,20
serial1d,phenoA,gamfit,rmse_true_risk,0.1805818619141513,2,realpt,20
serial1d,phenoA,gamfit,auc,0.6904191491625377,2,realpt,20
serial1d,phenoA,gamfit,liability_pseudo_r2,0.2929854238039013,2,realpt,20
serial1d,phenoA,linpc,brier,0.1641426403600152,2,realpt,20
serial1d,phenoA,linpc,mae_true_risk,0.1585745002688399,2,realpt,20
serial1d,phenoA,linpc,rmse_true_risk,0.203318694751489,2,realpt,20
serial1d,phenoA,linpc,auc,0.603565674681582,2,realpt,20
serial1d,phenoA,linpc,liability_pseudo_r2,0.2319719450545436,2,realpt,20
serial1d,phenoA,znorm,brier,0.1658139419587373,2,realpt,20
serial1d,phenoA,znorm,mae_true_risk,0.1706781002757606,2,realpt,20
serial1d,phenoA,znorm,rmse_true_risk,0.2136656388335785,2,realpt,20
serial1d,phenoA,znorm,auc,0.5886246276256194,2,realpt,20
serial1d,phenoA,znorm,liability_pseudo_r2,0.0935398406162996,2,realpt,20
serial1d,phenoA,gamfit,brier,0.1098866894386964,3,realpt,20
serial1d,phenoA,gamfit,mae_true_risk,0.1012729241178976,3,realpt,20
serial1d,phenoA,gamfit,rmse_true_risk,0.1373697382272135,3,realpt,20
serial1d,phenoA,gamfit,auc,0.7188419247452841,3,realpt,20
serial1d,phenoA,gamfit,liability_pseudo_r2,0.2819631690495479,3,realpt,20
serial1d,phenoA,linpc,brier,0.111415996029524,3,realpt,20
serial1d,phenoA,linpc,mae_true_risk,0.1073881289538482,3,realpt,20
serial1d,phenoA,linpc,rmse_true_risk,0.1431804901338907,3,realpt,20
serial1d,phenoA,linpc,auc,0.6920057836510979,3,realpt,20
serial1d,phenoA,linpc,liability_pseudo_r2,0.2840388371578225,3,realpt,20
serial1d,phenoA,znorm,brier,0.1148818713873813,3,realpt,20
serial1d,phenoA,znorm,mae_true_risk,0.1146827622925419,3,realpt,20
serial1d,phenoA,znorm,rmse_true_risk,0.153444447039779,3,realpt,20
serial1d,phenoA,znorm,auc,0.6472181310736743,3,realpt,20
serial1d,phenoA,znorm,liability_pseudo_r2,0.2443102795323199,3,realpt,20
serial1d,phenoA,gamfit,brier,0.1759094218624145,1,realpt,20
serial1d,phenoA,gamfit,mae_true_risk,0.1626059881705801,1,realpt,20
serial1d,phenoA,gamfit,rmse_true_risk,0.2065586844507912,1,realpt,20
serial1d,phenoA,gamfit,auc,0.6485457725261967,1,realpt,20
serial1d,phenoA,gamfit,liability_pseudo_r2,0.2169411896725871,1,realpt,20
serial1d,phenoA,linpc,brier,0.1787961856148897,1,realpt,20
serial1d,phenoA,linpc,mae_true_risk,0.1679245366619739,1,realpt,20
serial1d,phenoA,linpc,rmse_true_risk,0.2116971446682709,1,realpt,20
serial1d,phenoA,linpc,auc,0.6179950221788817,1,realpt,20
serial1d,phenoA,linpc,liability_pseudo_r2,0.2419834218618354,1,realpt,20
serial1d,phenoA,znorm,brier,0.184172593376352,1,realpt,20
serial1d,phenoA,znorm,mae_true_risk,0.1839345210516606,1,realpt,20
serial1d,phenoA,znorm,rmse_true_risk,0.2238670819991528,1,realpt,20
serial1d,phenoA,znorm,auc,0.5462851777984682,1,realpt,20
serial1d,phenoA,znorm,liability_pseudo_r2,0.0130565453161413,1,realpt,20
grid2d,phenoB,gamfit,brier,0.1326692978981285,2,realpt,20
grid2d,phenoB,gamfit,mae_true_risk,0.1228350735967123,2,realpt,20
grid2d,phenoB,gamfit,rmse_true_risk,0.1668126789511874,2,realpt,20
grid2d,phenoB,gamfit,auc,0.6682513736675334,2,realpt,20
grid2d,phenoB,gamfit,liability_pseudo_r2,0.2752124602170682,2,realpt,20
grid2d,phenoB,linpc,brier,0.1359568375638416,2,realpt,20
grid2d,phenoB,linpc,mae_true_risk,0.1297654207498873,2,realpt,20
grid2d,phenoB,linpc,rmse_true_risk,0.1753803905792713,2,realpt,20
grid2d,phenoB,linpc,auc,0.6455841230878794,2,realpt,20
grid2d,phenoB,linpc,liability_pseudo_r2,0.2027439416317911,2,realpt,20
grid2d,phenoB,znorm,brier,0.1411465859400565,2,realpt,20
grid2d,phenoB,znorm,mae_true_risk,0.145481392431814,2,realpt,20
grid2d,phenoB,znorm,rmse_true_risk,0.1912997113303874,2,realpt,20
grid2d,phenoB,znorm,auc,0.5334383223561361,2,realpt,20
grid2d,phenoB,znorm,liability_pseudo_r2,0.0157074321730204,2,realpt,20
grid2d,phenoA,gamfit,brier,0.1024521767662781,3,realpt,20
grid2d,phenoA,gamfit,mae_true_risk,0.0984114779381945,3,realpt,20
grid2d,phenoA,gamfit,rmse_true_risk,0.138076238701754,3,realpt,20
grid2d,phenoA,gamfit,auc,0.673765850465266,3,realpt,20
grid2d,phenoA,gamfit,liability_pseudo_r2,0.1468542876186576,3,realpt,20
