method,group_kind,group,dist_from_train,n,known_true_slope,derived_prediction_slope,abs_slope_error,known_true_prevalence,derived_prediction_prevalence,prevalence_error,abs_prevalence_error,auc,liability_pseudo_r2,mae_true_risk,rmse_true_risk,brier,dem,pheno,seed,pgs_mode,centers
gamfit,distance,0.0,0.0,250,0.7818779586423324,0.5237150580381617,0.2581629006041708,0.1744357552223941,0.1471219534913749,-0.0273138017310192,0.0273138017310192,0.7614874733176048,0.5190082664173539,0.1048941951776742,0.1554726459657586,0.1229021720757185,serial1d,phenoB,3,realpt,20
gamfit,distance,1.0,1.0,250,0.817370730022505,0.537591573199774,0.279779156822731,0.1028781571527231,0.1239052164712883,0.0210270593185651,0.0210270593185651,0.8265117994100295,0.3867571519266113,0.090270050593055,0.1248829342901436,0.0748223157919533,serial1d,phenoB,3,realpt,20
gamfit,distance,2.0,2.0,250,0.7101265263439863,0.5464204220912713,0.163706104252715,0.1614606880244844,0.139210986151666,-0.0222497018728183,0.0222497018728183,0.6349948078920041,0.2685757738158892,0.1137666829612011,0.1556836092762547,0.118714796419209,serial1d,phenoB,3,realpt,20
gamfit,distance,3.0,3.0,250,0.510489667072498,0.5377258886614186,0.0272362215889205,0.0655084854512414,0.0865140218218949,0.0210055363706535,0.0210055363706535,0.6893939393939393,0.188043065039844,0.0662797314946579,0.0920116149994901,0.0770197929776452,serial1d,phenoB,3,realpt,20
gamfit,distance,4.0,4.0,250,0.4812383579203789,0.5446809862484785,0.0634426283280996,0.2006790540492305,0.1863318435118504,-0.0143472105373801,0.0143472105373801,0.6385074939733781,0.1075752543266297,0.140521301048985,0.1828352682466194,0.1472903866394843,serial1d,phenoB,3,realpt,20
gamfit,distance,5.0,5.0,250,0.5878016013827457,0.5475209820252226,0.0402806193575231,0.0872725106253103,0.1005914692507312,0.0133189586254209,0.0133189586254209,0.5875199362041468,0.1746556739718461,0.0733432349643616,0.1027612040679319,0.0814838748259484,serial1d,phenoB,3,realpt,20
gamfit,distance,6.0,6.0,250,0.7745701816238718,0.5356082858551516,0.2389618957687201,0.0839348058326398,0.0518594715147911,-0.0320753343178486,0.0320753343178486,0.7347756410256411,0.2925807000907175,0.0610174799197896,0.0994560366016746,0.056596533408317,serial1d,phenoB,3,realpt,20
gamfit,distance,7.0,7.0,250,0.6094327701396178,0.5461651225100919,0.0632676476295259,0.069827476664219,0.0920852291081983,0.0222577524439793,0.0222577524439793,0.7359307359307359,0.1734425151016261,0.0711013230467965,0.0951942052031719,0.0661247609663288,serial1d,phenoB,3,realpt,20
gamfit,distance,8.0,8.0,250,0.6930120065776978,0.5394454614031683,0.1535665451745295,0.094506705178872,0.0911629923418147,-0.0033437128370572,0.0033437128370572,0.7318521356062057,0.2469419037260651,0.0715736567731708,0.1017762909731504,0.0806077065017464,serial1d,phenoB,3,realpt,20
gamfit,distance,9.0,9.0,250,0.7173571185062856,0.5491767540740028,0.1681803644322828,0.1245240791465521,0.1239965144624786,-0.0005275646840735,0.0005275646840735,0.6772844272844272,0.2595617632722221,0.0817973011168203,0.1109140519917727,0.0937237281114463,serial1d,phenoB,3,realpt,20
gamfit,deme,0.0,0.0,250,0.7818779586423324,0.5237150580381617,0.2581629006041708,0.1744357552223941,0.1471219534913749,-0.0273138017310192,0.0273138017310192,0.7614874733176048,0.5190082664173539,0.1048941951776742,0.1554726459657586,0.1229021720757185,serial1d,phenoB,3,realpt,20
